"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","City","State","Country","Market","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit","Shipping Cost","Order Priority","","","","",""
"CA-2012-124891","7/31/2012","7/31/2012","Same Day","RH-19495","Rick Hansen","Consumer","New York City","New York","United States","US","East","TEC-AC-10003033","Technology","Accessories","Plantronics CS510 - Over-the-Head monaural Wireless Headset System","2309.65","7","0","762.18","933.57","Critical","","","","",""
"MX-2011-140900","10/18/2011","10/21/2011","Second Class","DA-13450","Dianna Arnett","Home Office","Sancti Spíritus","Sancti Spíritus","Cuba","LATAM","Caribbean","TEC-CO-10000771","Technology","Copiers","Canon Wireless Fax, Laser","755.81","3","0","195.35","232.42","Critical","","","","",""
"IN-2013-71585","12/3/2013","12/6/2013","Second Class","BF-11080","Bart Folk","Consumer","Adelaide","South Australia","Australia","APAC","Oceania","FUR-CH-10000974","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black","1705","4","0.1","378.88","403.46","Critical","","","","",""
"IN-2012-58887","8/31/2012","9/2/2012","Second Class","CS-11845","Cari Sayre","Corporate","Shenzhen","Guangdong","China","APAC","North Asia","TEC-PH-10002601","Technology","Phones","Motorola Smart Phone, Cordless","1285.56","2","0","51.42","232.17","Critical","","","","",""
"US-2013-156713","12/20/2013","12/22/2013","First Class","CR-12730","Craig Reiter","Consumer","Indaial","Santa Catarina","Brazil","LATAM","South","FUR-TA-10000927","Furniture","Tables","Bevis Conference Table, Fully Assembled","740.18","3","0.6","-407.14","231.52","Critical","","","","",""
"IN-2012-72964","2/6/2012","2/9/2012","First Class","JC-15775","John Castell","Consumer","Bundaberg","Queensland","Australia","APAC","Oceania","FUR-CH-10000660","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable","819.94","2","0.1","191.32","320.92","Critical","","","","",""
"CA-2013-147417","7/26/2013","7/28/2013","First Class","CB-12415","Christy Brittain","Consumer","Columbus","Ohio","United States","US","East","TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier","1439.98","4","0.4","192","408.79","Critical","","","","",""
"ES-2014-1753356","5/29/2014","6/1/2014","Second Class","DL-13315","Delfina Latchford","Consumer","London","England","United Kingdom","EU","North","FUR-TA-10004524","Furniture","Tables","Bevis Round Table, with Bottom Storage","1399.11","3","0.1","108.78","230.35","Critical","","","","",""
"MO-2013-60","2/8/2013","2/9/2013","First Class","GP-4740","Guy Phonely","Corporate","Casablanca","Grand Casablanca","Morocco","Africa","Africa","TEC-CIS-10001938","Technology","Phones","Cisco Audio Dock, VoIP","1457.28","8","0","568.32","262.66","Critical","","","","",""
"IN-2013-16964","9/30/2013","10/3/2013","First Class","KS-16300","Karen Seio","Corporate","Adelaide","South Australia","Australia","APAC","Oceania","FUR-BO-10001192","Furniture","Bookcases","Bush Library with Doors, Mobile","1320.62","4","0.1","484.22","410.88","Critical","","","","",""
"IN-2014-23761","6/2/2014","6/4/2014","First Class","MH-18115","Mick Hernandez","Home Office","Kozhikode","Kerala","India","APAC","Central Asia","FUR-BO-10000210","Furniture","Bookcases","Ikea Library with Doors, Pine","1094.22","3","0","328.23","411.06","Critical","","","","",""
